# From AS61423 network site: https://as61423.net/

61423:666,Blackhole route
65003:1115,prepend 3 to any transit

65003:1251,prepend 3 to anyone in Europe

65003:1271,prepend 3 to anyone in Zug - CH
65003:1272,prepend 3 to anyone in Zurich - CH
65003:1273,prepend 3 to anyone in Frankfurt - DE
65003:1274,prepend 3 to anyone in Vienna - AT
65003:1275,prepend 3 to anyone in Klagenfurt - AT

65003:1261,prepend 3 to anyone in Switzerland - CH
65003:1262,prepend 3 to anyone in Frankfurt - DE
65003:1263,prepend 3 to anyone in Austria - AT

65003:1311,prepend 3 to IXP SwissIX
65003:1312,prepend 3 to IXP VIX
65003:1313,prepend 3 to IXP DE-CIX Frankfurt
65003:1314,prepend 3 to IXP AAIX

65004:1112,prepend 4 to any customer
65004:1113,prepend 4 to any IXP
65004:1115,prepend 4 to any transit

65004:1251,prepend 4 to anyone in Europe

65004:1271,prepend 4 to anyone in Zug - CH
65004:1272,prepend 4 to anyone in Zurich - CH
65004:1273,prepend 4 to anyone in Frankfurt - DE
65004:1274,prepend 4 to anyone in Vienna - AT
65004:1275,prepend 4 to anyone in Klagenfurt - AT

65004:1261,prepend 4 to anyone in Switzerland - CH
65004:1262,prepend 4 to anyone in Frankfurt - DE
65004:1263,prepend 4 to anyone in Austria - AT

65004:1311,prepend 4 to IXP SwissIX
65004:1312,prepend 4 to IXP VIX
65004:1313,prepend 4 to IXP DE-CIX Frankfurt
65004:1314,prepend 4 to IXP AAIX

65001:1333,prepend 1 to transit Arelion in Vienna - AT
65001:1339,prepend 1 to transit Colt in Vienna - AT
65001:1336,prepend 1 to transit Lumen in Vienna - AT
65001:1331,prepend 1 to transit Arelion in Zurich - CH
65001:1337,prepend 1 to transit Colt in Zurich - CH
65001:1334,prepend 1 to transit Lumen in Zurich - CH
65001:1332,prepend 1 to transit Arelion in Frankfurt - DE
65001:1338,prepend 1 to transit Colt in Frankfurt - DE
65001:1335,prepend 1 to transit Lumen in Frankfurt - DE

65105:1,change MED to 1
65105:5,change MED to 5
65105:10,change MED to 10
65105:15,change MED to 15
65105:20,change MED to 20

65105:50,change local-preference to 50
65105:75,change local-preference to 75
65105:100,change local-preference to 100
65105:125,change local-preference to 125
65105:150,change local-preference to 150
65105:175,change local-preference to 175

61423:1101,RPKI valid
61423:1102,RPKI invalid
61423:1103,RPKI unknown
61423:1104,RPKI not checked

61423:1111,JMP prefix
61423:1112,JMP customer route
61423:1113,JMP IXP peering route
61423:1114,JMP PNI private route
61423:1115,JMP transit route

61423:1201,learned at WWZ DC - Zug (jmp01.zlm.ch)
61423:1202,learned at AtlasEdge DC - Zurich (jmp02.zrh.ch)
61423:1203,learned at Interxion ZUR1 - Zurich (jmp03.zrh.ch)
61423:1204,learned at Interxion FRA15 - Frankfurt (jmp04.fra.de)
61423:1205,learned at Interxion VIE1 - Vienna (jmp05.vie.at)
61423:1206,learned at STW DC - Klagenfurt (jmp06.klu.at)
61423:1207,learned at Kelag DC - Klagenfurt (jmp07.klu.at)
61423:1208,learned at Equinix ZH4 - Zurich (jmp08.zrh.ch)

61423:1251,learned in Europe
61423:1261,learned in Switzerland
61423:1262,learned in Germany
61423:1263,learned in Austria

61423:1271,learned in Zug - CH
61423:1272,learned in Zurich - CH
61423:1273,learned in Frankfurt - DE
61423:1274,learned in Vienna - AT
61423:1275,learned in Klagenfurt - AT

61423:1311,learned at SwissIX
61423:1312,learned at VIX
61423:1313,learned at DE-CIX Frankfurt
61423:1314,learned at AAIX
